train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
85,6080;1,2765;81,5100;1,4063;66,2379;52,5400;80,9600;64,4517;49,2000
85,2920;1,2822;81,2600;1,4000;64,7621;52,6400;80,8600;65,2621;45,2100
85,2860;1,2851;81,1400;1,4099;64,8724;53,3100;81,6700;64,6000;49,4000
85,2680;1,2855;81,0800;1,4032;64,7483;55,0400;81,7800;65,1862;48,0400
85,3740;1,2762;81,2200;1,3889;64,6172;51,7900;81,0800;64,2000;44,4500
85,2200;1,2791;81,1300;1,3940;65,5517;50,3100;81,0200;65,0345;47,1600
85,5120;1,2750;81,0300;1,4110;64,3241;53,8000;81,4000;64,4690;50,1600
85,3780;1,2793;80,9800;1,4080;64,5448;50,2800;80,6700;64,8138;47,0600
85,3180;1,2796;81,0900;1,4044;64,2448;51,3400;80,8100;65,8000;46,9500
85,4200;1,2778;81,4700;1,4075;65,0724;53,4200;81,1400;65,5172;46,0200
85,3460;1,2809;81,0500;1,4102;64,1310;51,9800;80,9800;65,2586;50,3200
85,6700;1,2710;80,6900;1,4259;65,4310;54,4300;80,0400;63,8241;47,1900
85,5640;1,2743;80,5700;1,4100;64,5828;50,9400;80,7000;65,2931;47,2300
85,5740;1,2709;81,4400;1,3986;66,0828;52,9200;81,2000;65,2517;46,5200
85,6240;1,2688;81,0600;1,3983;66,0138;51,3600;80,6900;65,8103;46,6700
85,3980;1,2760;81,2100;1,3958;64,7207;50,7400;80,8300;64,3310;47,5800
85,4580;1,2743;81,5100;1,3894;64,6138;51,6800;81,2400;64,7690;48,5000
85,4840;1,2755;81,3600;1,4040;64,5586;51,5000;80,8600;64,3690;42,4800
85,1040;1,2882;81,2400;1,3888;65,8207;52,0200;80,2300;63,7172;45,1700
85,4980;1,2692;80,8900;1,3925;65,2586;49,2800;80,1100;61,9759;44,7700
85,3580;1,2820;81,3300;1,3904;66,3207;52,4700;80,3500;64,2517;43,4700
85,3000;1,2766;80,9800;1,4141;65,4069;52,1000;80,3400;62,9034;46,9700
85,6300;1,2734;80,8800;1,4160;64,8069;53,9200;79,7500;64,0552;48,2500
85,7060;1,2697;81,1900;1,4098;66,5621;52,0600;79,3000;61,2724;43,3000
85,4400;1,2769;81,0400;1,4119;66,2517;52,7000;79,7300;62,6069;45,5100
85,3860;1,2748;80,5800;1,4209;64,5310;51,0800;79,7700;64,3310;41,9900
85,5680;1,2756;81,0700;1,3939;65,6069;51,4400;80,1600;64,1517;44,7300
85,0460;1,2879;81,3700;1,3978;63,6138;52,2500;78,4400;63,4690;43,6400
85,1340;1,2857;80,9300;1,4082;65,3724;53,3400;79,4300;64,0759;44,9600
85,1100;1,2847;81,3600;1,3987;65,1897;53,2000;79,5700;64,1621;44,0000
85,3960;1,2793;81,1300;1,4126;64,0379;53,5700;80,7400;64,9828;45,7800
85,6740;1,2692;81,4200;1,3859;65,8759;51,5400;79,6200;64,1621;39,7100
85,4780;1,2729;80,7500;1,4080;63,4276;51,2000;80,6200;64,9276;45,6200
85,4020;1,2811;81,2400;1,3968;65,9172;50,4600;78,9500;63,0966;39,9900
85,3880;1,2755;80,7300;1,4083;64,4000;51,9600;79,6500;63,9517;43,0600
85,3300;1,2805;80,5200;1,4013;63,5310;50,2700;79,7000;64,2552;42,2600
85,5600;1,2738;80,6300;1,4225;64,2655;52,1300;79,0200;62,6862;42,1700
85,3920;1,2785;81,6600;1,3740;65,4414;51,2900;78,4600;61,6310;41,2800
85,6400;1,2745;80,9100;1,4052;65,6552;49,6400;79,1900;63,2931;45,5400
85,6440;1,2716;81,0100;1,4094;65,0310;53,6400;78,3700;61,6517;39,9300
85,1920;1,2844;81,0400;1,4103;65,3103;52,4600;78,3700;61,1379;40,3400
85,5920;1,2733;80,8000;1,4094;65,9655;52,2100;78,0900;61,3483;39,6900
85,3900;1,2778;80,8300;1,4143;64,9793;52,5700;78,9700;63,5690;42,3700
85,4000;1,2772;80,7300;1,4143;64,6069;52,3500;78,9900;62,6448;41,7700
85,3300;1,2781;81,1200;1,3926;64,5966;50,2400;77,1800;61,8138;34,2600
85,2800;1,2811;80,7200;1,4129;65,3655;51,1300;78,4500;62,1897;36,8900
85,3940;1,2771;81,0900;1,4105;65,3897;54,0100;78,6600;61,5207;40,2600
85,4540;1,2795;81,3300;1,4101;66,0966;53,4500;77,4400;60,8897;36,6300
