train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
75,8480;1,6125;74,2700;1,7239;47,7310
75,8560;1,6050;75,1800;1,7153;50,6759
75,9400;1,6024;74,3400;1,6947;53,6690
76,0400;1,5993;73,7100;1,7206;51,2414
76,3980;1,5913;74,7100;1,6883;52,2690
76,5080;1,5888;75,0500;1,6957;52,9034
76,3880;1,5856;73,3800;1,7325;46,9034
76,6980;1,5831;74,0800;1,7122;49,5448
77,0520;1,5704;75,2100;1,6767;51,7655
76,7560;1,5722;75,1100;1,6851;51,2759
77,2880;1,5654;75,2300;1,6823;49,9103
77,1540;1,5637;73,9400;1,6983;49,5172
77,3340;1,5597;74,0400;1,6998;48,0759
77,2160;1,5638;74,0200;1,7108;51,6828
77,5140;1,5544;75,2900;1,6577;51,6828
77,6440;1,5514;76,1200;1,6818;52,2414
78,1200;1,5397;74,6100;1,6784;51,3517
78,1380;1,5381;75,1900;1,6661;50,7862
78,3340;1,5305;75,4300;1,6660;51,9241
78,5160;1,5280;75,2500;1,6903;51,5862
78,3860;1,5292;75,8500;1,6479;54,4966
78,4620;1,5251;75,6800;1,6379;52,2345
78,9520;1,5139;74,3500;1,7210;50,3310
78,8900;1,5145;75,5000;1,6562;50,1448
78,9920;1,5121;75,9500;1,6624;51,7862
78,8900;1,5095;76,4800;1,6359;52,7241
79,6180;1,4941;74,8100;1,7042;53,3862
79,3160;1,4946;75,0700;1,6728;50,1103
79,6000;1,4924;74,5700;1,6718;50,5724
79,8920;1,4882;75,1600;1,6495;52,1379
79,7880;1,4885;76,0800;1,6510;52,4552
80,0140;1,4803;76,7400;1,6093;54,4483
80,3280;1,4750;75,9400;1,6373;52,8690
80,3900;1,4711;75,4900;1,6398;52,9793
80,2120;1,4708;75,9400;1,6566;52,4690
80,2160;1,4703;76,2100;1,6268;53,4414
80,5740;1,4631;76,4300;1,6201;55,1931
80,7660;1,4605;76,3700;1,6184;53,4552
80,9140;1,4543;76,5300;1,6178;53,6552
81,2000;1,4447;77,1300;1,6112;54,6759
81,4380;1,4393;76,0600;1,6373;52,4207
81,4620;1,4394;76,5500;1,6137;53,3034
81,2840;1,4389;76,0000;1,6595;52,9724
81,3440;1,4366;76,2700;1,6083;54,9655
81,9220;1,4241;76,3300;1,6064;52,1172
81,5400;1,4273;77,0800;1,5868;53,9103
81,8660;1,4224;78,0200;1,5861;54,1034
82,2960;1,4155;76,8800;1,6113;53,1172
82,1300;1,4172;77,3900;1,5820;56,3448
82,2100;1,4106;77,0700;1,5827;56,0483
82,5100;1,4074;77,5200;1,5892;56,0552
82,4860;1,4031;76,6500;1,6187;52,6276
83,0580;1,3907;77,6200;1,5776;56,0414
83,3200;1,3821;77,5400;1,6075;53,9793
83,1760;1,3839;78,0100;1,5719;55,8966
83,1700;1,3862;76,7500;1,6209;54,3379
83,6660;1,3741;76,8700;1,6033;52,5655
83,8520;1,3702;77,5600;1,5873;54,2414
83,5660;1,3692;77,6900;1,5688;54,9655
83,9920;1,3623;77,6000;1,5781;54,4276
83,8960;1,3612;77,1100;1,5966;54,8759
83,9840;1,3619;77,5400;1,5894;56,1241
84,1740;1,3521;77,1700;1,5932;53,7103
84,2500;1,3527;78,1600;1,5498;54,1931
84,3860;1,3471;77,9100;1,5533;55,2621
84,8640;1,3384;78,2300;1,5496;55,3379
84,8220;1,3371;78,2400;1,5512;56,9724
84,8120;1,3362;78,2500;1,5499;53,7379
85,0840;1,3296;78,1100;1,5610;55,3172
85,1580;1,3249;78,2800;1,5621;55,0897
85,1960;1,3220;78,5500;1,5374;55,0276
85,5340;1,3126;78,7600;1,5508;55,8897
85,6880;1,3098;78,3400;1,5379;57,3172
85,7880;1,3082;78,7700;1,5399;55,5862
85,6820;1,3094;78,5900;1,5341;57,0207
85,9900;1,2987;79,3800;1,5129;57,6690
86,0280;1,2959;79,1800;1,5135;55,9517
86,1180;1,2927;79,2800;1,5082;56,6276
86,1380;1,2938;79,1100;1,5117;56,7931
86,3380;1,2872;79,1800;1,5215;57,9931
86,4060;1,2817;79,6900;1,5042;56,4828
86,6740;1,2766;79,4800;1,4967;57,2069
86,7780;1,2728;79,6900;1,4983;58,7310
86,7520;1,2762;79,6700;1,4983;56,8690
